Week_Num,BRICS,EU,Japan,No_Affiliation,US,All
1,0,0,0,0,0,0.0
2,0,0,0,0,0,0.0
3,15,0,0,0,0,15.0
4,115,0,0,0,0,115.0
5,360,0,0,0,0,360.0
6,622,0,0,0,0,622.0
7,894,0,1,0,0,895.0
8,709,11,0,0,0,720.0
9,266,72,5,83,0,426.0
10,178,580,6,252,19,1035.0
11,80,2657,16,781,80,3614.0
12,95,8846,15,1275,693,10924.0
13,206,18723,13,2222,3278,24442.0
14,656,27722,25,3587,8816,40806.0
15,1228,26466,38,4464,13162,45358.0
16,3079,24216,67,5088,19006,51456.0
17,3090,17941,203,5537,13292,40063.0
18,4230,12897,154,6209,12723,36213.0
19,5923,9957,125,6735,11309,34049.0
20,7287,7206,103,6793,9534,30923.0
21,8757,3636,87,7548,6995,27023.0
22,9626,3710,42,8395,7265,29038.0
23,10648,2849,19,11306,5825,30647.0
24,12599,1973,12,12327,4957,31868.0
25,11531,2749,32,14657,4265,33234.0
26,11390,1230,11,14532,6182,33345.0
27,12408,1060,6,14947,4070,32491.0
28,13024,824,4,15207,4986,34045.0
29,13771,736,5,17494,5600,37606.0
30,15335,652,11,20237,7190,43425.0
31,15375,771,22,16375,7550,40093.0
32,16167,897,36,17048,7731,41879.0
33,15926,1225,70,19394,7284,43899.0
34,14999,1001,81,15727,6665,38473.0
35,14598,1059,98,15906,6203,37864.0
36,13951,1296,86,20315,4990,40638.0
37,15181,1654,68,14705,6258,37866.0
38,14285,2235,51,14552,4870,35993.0
39,13737,2703,52,15426,5191,37109.0
All,282341,189554,1564,329124,205989,1008572.0
