Week_Num,BRICS,EU,Japan,No_Affiliation,US
00,1.875880916283677e-08,0.0,0.0,0.0,0.0
01,4.0991471874347014e-08,0.0,0.0,0.0,0.0
02,4.0991471874347014e-08,0.0,7.906609781877352e-09,3.1546618879155544e-09,0.0
03,3.6544939332044967e-07,0.0,7.906609781877352e-09,1.4061632960251158e-08,3.021123876390028e-09
04,4.1644556341497625e-06,2.180448878677781e-08,5.534626847314146e-08,1.4077067542009946e-07,1.510561938195014e-08
05,5.63756744971789e-06,7.041921876922702e-08,1.9766524454693378e-07,3.667549062267819e-07,3.32323626402903e-08
06,1.0362934636860129e-05,9.383064289993945e-08,1.9766524454693378e-07,6.44919911568888e-07,3.927461039307036e-08
07,1.7202720683961624e-05,9.683571559433348e-08,5.218362456039052e-07,9.461622506172181e-07,4.5316858145850414e-08
08,1.3580791789412185e-05,5.798739446888478e-07,1.2966840042278855e-06,2.4796804707325393e-06,1.6011956544867146e-07
09,1.397170903986605e-05,4.465611555398672e-06,2.11897142154313e-06,1.942455827741855e-05,3.7764048454875347e-07
10,1.411930488612877e-05,2.2895130751828815e-05,4.4909543561063356e-06,5.194769347500452e-05,3.0966519732997786e-06
11,1.2003766790183017e-05,0.00010642684394033773,6.554579509176324e-06,7.219177386535538e-05,1.9416763153558707e-05
12,1.605205995362869e-05,0.00033682647746712056,9.432585469779681e-06,0.00014557104548149758,0.00016685969281689762
13,2.478227302362486e-05,0.0006726134870942672,1.5441608904006467e-05,0.0002800472665766009,0.0005728594671933243
14,4.133487079504718e-05,0.0009984167901854661,3.3658437841451885e-05,0.000412258521526366,0.0012048513920192305
15,7.407279971104019e-05,0.0012856311815939365,6.404353923320655e-05,0.0005267268840441455,0.0018414233406417442
16,0.00013907825299714203,0.0015145755542810644,9.089438605246203e-05,0.0006292788522488761,0.0024925510641007047
17,0.00022890981653071315,0.0016824051577101098,0.00010952235869856507,0.0007181890598632799,0.0030591386781266437
18,0.0003652280802427185,0.0018009200618893833,0.00012139808659094486,0.0008061375634920399,0.003638868181014879
19,0.0005460941487437762,0.0019035625346403055,0.00012669551514480268,0.00090612679448933,0.004138830950194788
20,0.0007517948033155122,0.00198629805843089,0.0001295498012760604,0.0010069464033841693,0.004617993281485752
21,0.0009801922066216028,0.002053602378187045,0.00013165295947803978,0.001132907986336303,0.005079149714473432
22,0.0012658431723719993,0.0021135494457623486,0.0001343016737549687,0.0012823766091542392,0.005534158160372657
23,0.001591316559703388,0.002178460197691966,0.0001363969253471662,0.0014205346650903487,0.005981372106670797
24,0.001936636152561138,0.0022456694310206107,0.00013937771723493395,0.001570973263081348,0.006458350165399131
25,0.002335773159179674,0.0023152686622266026,0.000142532454537903,0.0017277823308614014,0.007090644202612676
26,0.002813602194209882,0.002395555234685176,0.00014803545494608965,0.0018968235704833907,0.007958945415925933
27,0.0033687242209023576,0.0024723238040777243,0.00015950794573959368,0.0020753500291143456,0.00905158320380441
28,0.0039804727260582245,0.0025645400577370614,0.00017796197297049543,0.0022663901101653973,0.010367210144999233
29,0.004577879607855031,0.002678017438139374,0.00020796755709271997,0.0024735911160244104,0.01178860059085872
30,0.00524954515626479,0.0028094555391230095,0.00024773780429556303,0.002696625426231117,0.013147922046677772
31,0.005863722631588875,0.002961398693029106,0.0003251909537188336,0.002913202345976483,0.01441404485203407
32,0.006415047489808484,0.0031319628811034353,0.00039147206352031143,0.0031990945268902306,0.015532223221163545
33,0.006894295161370259,0.0033362570986216937,0.00045502539294704157,0.0034837933998186433,0.01656305787790271
34,0.007325730823106833,0.003558523520472251,0.0005046156494989763,0.0037944182796536,0.01745915947312651
35,0.007765437549867959,0.0037096556792233387,0.0005455639815593192,0.004088432377651985,0.018355297321836824
36,0.008141231322718497,0.0039928176801259626,0.0005750161029968123,0.004379866032230608,0.019117046517153683
37,0.008532193036906999,0.004373300124125535,0.0006044445046049598,0.004689584087214292,0.019958429516728306
38,0.008917027168891242,0.004871820936236504,0.0006306944490807925,0.005027290654013258,0.020834498039527763
39,0.009278585375385959,0.0054116071696384705,0.0006563276779936389,0.0053701810764339815,0.02172508608367715
