,Unnamed: 0,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_RD,Area (sq. mi.),DATE_RD,DATE_CD,Country_CD,European Union,Area (km²),Population Density,DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,AreaKM2,PopKM2,Stringency_Indexed,Country,Econ_Block
384,2708,AUS,Australia,2020-09-30,27063.0,882.0,68.06,25499881,44648.71,0.939,Australia,7686850.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.001061299070376,0.0,,,3.0,,All_Others
426,3002,AUT,Austria,2020-09-30,44607.0,796.0,40.74,9006400,45436.686,0.908,Austria,83870.0,2020-09-30,2020-09-30,Austria,Member,83855.0,102.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.5319539681593226,0.0049528113341623,0.0,83855.0,107.4044481545525,2.0,Austria,EU
468,3296,AZE,Azerbaijan,2020-09-30,40119.0,590.0,68.98,10139175,15847.419,0.757,Azerbaijan,86600.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0039568308072402,0.0,,,3.0,,All_Others
498,3512,BHS,Bahamas,2020-09-30,3903.0,91.0,,393248,27717.847,0.807,Bahamas,13940.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0099250345837741,0.0,,,,,All_Others
540,3806,BHR,Bahrain,2020-09-30,70422.0,246.0,63.89,1701583,43290.705,0.846,Bahrain,665.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0413861680564509,0.0,,,3.0,,All_Others
573,4037,BGD,Bangladesh,2020-09-30,362043.0,5219.0,80.09,164689383,3523.984,0.608,Bangladesh,144000.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.002198338432053,0.0,,,4.0,,All_Others
604,4253,BRB,Barbados,2020-09-30,190.0,7.0,31.48,287371,16978.068,0.8,Barbados,431.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.000661166227629,0.0,,,2.0,,All_Others
646,4547,BLR,Belarus,2020-09-30,78260.0,828.0,11.11,9449321,17167.967,0.808,Belarus,207600.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0082820765640197,0.0,,,1.0,,All_Others
688,4841,BEL,Belgium,2020-09-30,125581.0,10021.0,45.37,11589616,42658.576,0.916,Belgium,30528.0,2020-09-30,2020-09-30,Belgium,Member,30528.0,368.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,4.113633385744235,0.0108356480490811,0.1,30528.0,379.6388888888889,2.0,Belgium,EU
718,5049,BLZ,Belize,2020-09-30,1943.0,26.0,72.22,397621,7824.362,0.708,Belize,22966.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0048865628324459,0.0,,,4.0,,All_Others
749,5266,BEN,Benin,2020-09-30,2340.0,40.0,47.22,12123198,2064.236,0.515,Benin,112620.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0001930183768342,0.0,,,2.0,,All_Others
779,5480,BMU,Bermuda,2020-09-30,181.0,9.0,31.48,62273,50669.315,,Bermuda,53.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0029065566136206,0.0,,,2.0,,All_Others
810,5703,BTN,Bhutan,2020-09-30,281.0,,71.3,771612,8708.597,0.612,Bhutan,47000.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0003641726670917,,,,4.0,,All_Others
841,5925,BOL,Bolivia,2020-09-30,134641.0,7931.0,81.48,11673029,6885.829,0.693,Bolivia,1098580.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0115343669582248,0.1,,,4.0,,All_Others
869,6126,BES,Bonaire Sint Eustatius and Saba,2020-09-30,106.0,1.0,,26221,,,Bonaire Sint Eustatius and Saba,127.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0040425613058235,0.0,,,,,All_Others
900,6349,BIH,Bosnia and Herzegovina,2020-09-30,27222.0,836.0,40.74,3280815,11713.895,0.768,Bosnia and Herzegovina,51129.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0082973285601291,0.0,,,2.0,,All_Others
929,6551,BWA,Botswana,2020-09-30,3172.0,16.0,63.89,2351625,15807.374,0.717,Botswana,600370.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0013488545154946,0.0,,,3.0,,All_Others
971,6845,BRA,Brazil,2020-09-30,4777522.0,142921.0,,212559409,14103.452,0.759,Brazil,8511965.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0224761727673038,0.0,,,,Brazil,BRICS
1000,7052,VGB,British Virgin Islands,2020-09-30,71.0,1.0,,30237,,,British Virgin Islands,153.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0023481165459536,0.0,,,,,All_Others
1031,7275,BRN,Brunei,2020-09-30,146.0,3.0,35.19,437483,71809.251,0.853,Brunei,5770.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0003337272534018,0.0,,,2.0,,All_Others
1062,7499,BGR,Bulgaria,2020-09-30,20547.0,814.0,35.19,6948445,18563.307,0.813,Bulgaria,110910.0,2020-09-30,2020-09-30,Bulgaria,Member,110994.0,65.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.1851181144926753,0.0029570644942861,0.0,110994.0,62.60198749481954,2.0,Bulgaria,EU
1094,7720,BFA,Burkina Faso,2020-09-30,2032.0,58.0,36.11,20903278,1703.102,0.423,Burkina Faso,274200.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,9.720963381915506e-05,0.0,,,2.0,,All_Others
1123,7922,BDI,Burundi,2020-09-30,506.0,1.0,11.11,11890781,702.225,0.417,Burundi,27830.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,4.255397521828045e-05,0.0,,,1.0,,All_Others
1165,8216,KHM,Cambodia,2020-09-30,277.0,,37.04,16718971,3645.07,0.582,Cambodia,181040.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,1.656800529171323e-05,,,,2.0,,All_Others
1196,8439,CMR,Cameroon,2020-09-30,20838.0,418.0,52.78,26545864,3364.926,0.556,Cameroon,475440.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0007849810426211,0.0,,,3.0,,All_Others
1238,8733,CAN,Canada,2020-09-30,156961.0,9291.0,60.65,37742157,44017.591,0.926,Canada,9984670.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0041587713177071,0.1,,,3.0,,All_Others
1268,8946,CPV,Cape Verde,2020-09-30,5900.0,59.0,68.98,555988,6222.554,0.654,Cape Verde,4033.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0106117398217227,0.0,,,3.0,,All_Others
1298,9160,CYM,Cayman Islands,2020-09-30,211.0,1.0,,65720,49903.029,,Cayman Islands,262.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0032105903834449,0.0,,,,,All_Others
1329,9378,CAF,Central African Republic,2020-09-30,4825.0,62.0,56.48,4829764,661.24,0.367,Central African Republic,622984.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0009990136164003,0.0,,,3.0,,All_Others
1359,9592,TCD,Chad,2020-09-30,1193.0,85.0,76.85,16425859,1768.153,0.404,Chad,1284000.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,7.262938273121667e-05,0.1,,,4.0,,All_Others
1392,9821,CHL,Chile,2020-09-30,461300.0,12725.0,83.8,19116209,22767.037,0.843,Chile,756950.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0241313536590858,0.0,,,4.0,,All_Others
1434,10115,CHN,China,2020-09-30,90528.0,4739.0,54.17,1439323774,15308.712,0.752,China,9596960.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,6.289620281086248e-05,0.1,,,3.0,China,BRICS
1466,10344,COL,Colombia,2020-09-30,824042.0,25828.0,71.3,50882884,13254.949,0.747,Colombia,1138910.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0161948760608773,0.0,,,4.0,,All_Others
1490,10515,COM,Comoros,2020-09-30,479.0,7.0,,869595,1413.89,0.503,Comoros,2170.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0005508311340336,0.0,,,,,All_Others
1521,10733,COG,Congo,2020-09-30,5089.0,89.0,56.48,5518092,4881.406,0.606,Congo,342000.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0009222390637923,0.0,,,3.0,,All_Others
1553,10959,CRI,Costa Rica,2020-09-30,74604.0,880.0,62.96,5094114,15524.995,0.794,Costa Rica,51100.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0146451375057566,0.0,,,3.0,,All_Others
1584,11179,CIV,Cote d'Ivoire,2020-09-30,19669.0,120.0,32.41,26378275,3601.006,0.492,Cote d'Ivoire,322460.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0007456514878247,0.0,,,2.0,,All_Others
1626,11473,HRV,Croatia,2020-09-30,16380.0,275.0,28.7,4105268,22669.797,0.831,Croatia,56542.0,2020-09-30,2020-09-30,Croatia,Member,56594.0,75.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.2894299749090009,0.0039899952938517,0.0,56594.0,72.53892638795632,1.0,Croatia,EU
