,Week_Num,All
0,5,360.0
1,6,622.0
2,7,894.0
3,8,709.0
4,9,335.0
5,10,729.0
6,11,2655.0
7,12,9831.0
8,13,23107.0
9,14,39127.0
10,15,43629.0
11,16,48473.0
12,17,38221.0
13,18,31670.0
14,19,29956.0
15,20,27707.0
16,21,25391.0
17,22,24478.0
18,23,26686.0
19,24,22902.0
20,25,23724.0
21,26,22897.0
22,27,23711.0
23,28,23347.0
24,29,26437.0
25,30,30617.0
26,31,27262.0
27,32,29030.0
28,33,30989.0
29,34,26565.0
30,35,25852.0
31,36,29421.0
32,37,21277.0
33,38,17442.0
34,39,17588.0
