location,Population Density
Austria,102
Belgium,368
Bulgaria,65
Croatia,75
Cyprus,92
Czech Republic,134
Denmark,131
Estonia,29
Finland,16
France,121
Germany,227
Greece,82
Hungary,106
Ireland,66
Italy,202
Latvia,31
Lithuania,45
Luxembourg,218
Malta,1359
Netherlands,407
Poland,122
Portugal,112
Romania,83
Slovakia,111
Slovenia,102
Spain,92
Sweden,22
United Kingdom,266
