Month,All_Others,BRICS,EU,US
Jan,0,130,0,0
Feb,1,2585,11,0
Mar,2433,619,12155,792
Apr,21244,8259,115068,57554
May,27754,26197,33696,40561
Jun,46790,44404,11281,22312
Jul,82454,65928,4502,28028
Aug,68753,62467,3894,29230
Sep,81259,71752,8947,27512
