Week_Num,BRICS,EU,Japan,No_Affiliation,US,All
0,2.466436019558168e-08,0.0,0.0,0.0,0.0,2.466436019558168e-09
1,4.0991471874347e-08,0.0,0.0,0.0,0.0,4.0991471874347e-09
2,4.347279583768521e-08,0.0,4.518062732501344e-09,3.334633093850983e-09,0.0,6.041100398869769e-09
3,4.1596914921401534e-07,2.0891113743601903e-09,1.0165641148128023e-08,3.084560689502085e-08,3.625348651668034e-09,4.7348948036996896e-08
4,2.814759603764425e-06,3.8481995317283436e-08,6.438239393814415e-08,1.6148622336341243e-07,1.510561938195014e-08,2.821481981334389e-07
5,5.638060870256376e-06,7.051141608977329e-08,1.7959299361692841e-07,3.743000867239523e-07,3.3232362640290296e-08,7.392616254134513e-07
6,1.1760250871414657e-05,9.187074744097254e-08,2.2251458957569118e-07,6.658675081131307e-07,4.056937776866609e-08,1.4412721944734114e-06
7,1.696146982608614e-05,9.992472850745631e-08,5.85089123858924e-07,9.792585133033069e-07,5.43802297750205e-08,2.0471606863755693e-06
8,1.5207837943961794e-05,7.346073147506934e-07,1.3667139765816565e-06,3.0047473262967467e-06,1.5580367419668573e-07,3.2150472804604773e-06
9,1.3494662971805436e-05,5.423067015141721e-06,2.3595582620488275e-06,2.343999164144752e-05,4.816534637216103e-07,1.635050326981417e-05
10,1.203995254271329e-05,2.7741277100886142e-05,4.5813156107563625e-06,5.033131253400065e-05,3.4160279259467245e-06,4.023573929608911e-05
11,1.2184375496460874e-05,0.00011505396965331464,6.8640668063526665e-06,8.143822989683893e-05,2.6370958727883354e-05,8.458636887016268e-05
12,1.638857500082482e-05,0.00034503494129961673,9.69915117099726e-06,0.00016199919181970882,0.00018277669975417203,0.00018482639180472494
13,2.5351127027465147e-05,0.000676340946768737,1.716299080508948e-05,0.0002917517136571811,0.0005878908532457001,0.0003396232408263634
14,4.249126808746444e-05,0.001003966378210405,3.524992543897547e-05,0.000415981814597726,0.0012156147932124999,0.0004897915849393124
15,7.605279112530959e-05,0.001289986908647721,6.471221251761674e-05,0.0005273652485237634,0.0018527219123502573,0.0006247288964471704
16,0.00014000789314561163,0.001516806488203612,9.107284953038687e-05,0.000627597467696492,0.0024643268616691715,0.0007435004407562538
17,0.00023102497968457866,0.0016852191779076515,0.00010945910582025712,0.0007221135819836255,0.0030727043875098145,0.0008498925458404998
18,0.0003687912780160251,0.0018038005557989224,0.00012099259046064286,0.0008103421437665228,0.0036450822012394288,0.0009444217172560001
19,0.0005492619541029234,0.0019053866154062546,0.0001264515397572143,0.0009065396568313957,0.0041472486644926,0.001044715832240966
20,0.0007557624658993975,0.0019878215882207116,0.00012968308412662858,0.0010089465410120864,0.004627663035835757,0.001147802473628512
21,0.0009890564186098652,0.0020559948198367022,0.00013167780882302857,0.0011339694589052281,0.005083339581700814,0.0012687734174500283
22,0.0012749531527998848,0.0021163004330621293,0.0001342271257198286,0.0012803261802172329,0.005535428758757186,0.0014076791488067185
23,0.0015979411424686869,0.0021806156619109877,0.00013642516323918573,0.00142365283440385,0.005988841188071428,0.001545500725716478
24,0.0019424815353724803,0.0022485708656751185,0.0001393291480605286,0.0015767772799655713,0.006471961623229585,0.0016927053522802287
25,0.002350284581267169,0.0023180696378809883,0.00014267364399825713,0.0017306244976493302,0.007106918996934756,0.0018428125168330307
26,0.0028324776147395847,0.002396955787156705,0.0001484251378567143,0.0018972968826509245,0.007986549424784457,0.0020079061796891237
27,0.0033817647968041307,0.0024756063248927472,0.00016001961634400002,0.002077934587641421,0.009072238627747257,0.002187215110514786
28,0.003993778219126517,0.002565523442165502,0.00017913328073384285,0.0022698018776760235,0.010388558701077143,0.0023800334821924528
29,0.00461593187039555,0.0026808391452142104,0.00020957937597248572,0.002477649471684897,0.011797199141000013,0.0025903042910405535
30,0.005284259233165295,0.0028159027395436706,0.0002499595616442286,0.002694961897918219,0.013180015445616628,0.0028121392125969313
31,0.005888300911711672,0.002964314987199509,0.00032378357717761426,0.0029242815203774867,0.014424736177843442,0.0030437093604830322
32,0.00643157026291281,0.0031378124631921225,0.0003931358401215,0.003204900964434791,0.015553156588503012,0.0033192824978835887
33,0.0069075207387710585,0.0033414859881713554,0.0004542110121394571,0.003496061298263813,0.016578456546300614,0.003605531170772759
34,0.007339281216658837,0.003540001490425532,0.0005050154980507428,0.0037987810915700465,0.01747838978977793,0.0038989854901185367
35,0.007774324989320454,0.0037171416076607995,0.0005458553966055143,0.004094882272071976,0.018356433696003444,0.004183983231356565
36,0.0081661494539558,0.004002956947383852,0.0005759411763412429,0.004387140152453687,0.019142266427684598,0.004478879787380003
37,0.00854563387280548,0.004387444530847352,0.0006052588854124428,0.004697428563792038,0.019938216040049587,0.00480180400331364
38,0.008927196003670281,0.004879248052065986,0.0006303973864560715,0.0050358616239596825,0.0208328364213957,0.005163087597255174
39,0.009291730915027711,0.005429761466270756,0.000656607797883,0.005376591810698042,0.021741773045613776,0.005533849710216235
40,0.009673156116735887,0.006160674909088744,0.0006851190327564571,0.005738747914310059,0.022693825855028316,0.00594734140433456
41,0.010050375208493745,0.007268271348700478,0.0007141656580636858,0.006179764185247882,0.023775609607997173,0.006476704481030864
42,0.01030160953924669,0.007444609191733474,0.0007344568425532,0.006477504425030031,0.02456377184198165,0.00674929579043679
52,1.8758809162836772e-08,0.0,0.0,0.0,0.0,1.875880916283677e-09
All,0.00334366853892656,0.002489112337408675,0.0002059882691106262,0.002345744300571752,0.008255681331836478,0.002414317561285986
