,Unnamed: 0,Unnamed: 0.1,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,DATE_RD,DATE_CD,Country_x,European Union,Area (km²),DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,Stringency_Indexed,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_Index_5
1527,4262,4569,MMR,Myanmar,2020-09-30,12425.0,284.0,81.02,54409794,5591.597,0.578,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0002283596221665,0.0,4.0,All_Others,5466.0,168.0,True
1557,4330,4642,NPL,Nepal,2020-09-30,76258.0,491.0,76.85,29136808,2442.804,0.574,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0026172393352078,0.0,4.0,All_Others,9626.0,62.0,True
1618,4636,4971,OMN,Oman,2020-09-30,98585.0,935.0,86.11,5106622,37960.709,0.821,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0193053255165547,0.0,4.0,All_Others,3874.0,70.0,True
1659,4705,5045,PSE,Palestine,2020-09-30,50115.0,360.0,82.41,5101416,4449.898,0.686,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0098237430548694,0.0,4.0,All_Others,3501.0,46.0,True
1687,4735,5077,PAN,Panama,2020-09-30,111853.0,2364.0,87.04,4314768,22267.037,0.789,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0259232941377149,0.0,4.0,All_Others,4569.0,79.0,True
1722,4793,5139,PRY,Paraguay,2020-09-30,40101.0,841.0,81.48,7132530,8827.01,0.702,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0056222686760518,0.0,4.0,All_Others,5273.0,136.0,True
1751,4824,5172,PER,Peru,2020-09-30,811768.0,32396.0,85.19,32971846,12236.706,0.75,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.024620034923128,0.0,4.0,All_Others,35222.0,810.0,True
1814,4952,5309,PRI,Puerto Rico,2020-09-30,48467.0,654.0,70.37,2860840,35044.67,,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0169415276632038,0.0,4.0,All_Others,5871.0,41.0,True
1880,5098,5466,RWA,Rwanda,2020-09-30,4836.0,29.0,75.93,12952209,1854.211,0.524,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0003733726038546,0.0,4.0,All_Others,98.0,2.0,True
2168,6140,6583,TTO,Trinidad and Tobago,2020-09-30,4463.0,74.0,80.56,1399491,28763.071,0.784,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0031890165781702,0.0,4.0,All_Others,437.0,9.0,True
2228,6255,6706,UGA,Uganda,2020-09-30,8017.0,75.0,73.15,45741000,1697.707,0.516,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.000175269451914,0.0,4.0,All_Others,1305.0,11.0,True
2325,6547,7019,VEN,Venezuela,2020-09-30,74363.0,621.0,87.96,28435943,16745.022,0.761,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0026151058187168,0.0,4.0,All_Others,5910.0,57.0,True
2367,6667,7148,ZWE,Zimbabwe,2020-09-30,7837.0,228.0,76.85,14862927,1899.775,0.535,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0005272851033985,0.0,4.0,All_Others,126.0,2.0,True
