Week_Num,All_Others,BRICS,EU,US,All
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.5,0.0,0.0,0.0,0.5
6,0.3,0.0,0.0,0.0,0.3
7,0.3,0.0,0.1,0.0,0.4
8,0.5,0.0,0.1,0.0,0.6000000000000001
9,0.1,0.0,0.0,0.1,0.2
10,0.30000000000000004,0.0,0.1,0.0,0.4
11,1.9,0.0,0.1,0.0,2.0
12,3.2,0.0,0.2,0.0,3.400000000000001
13,3.800000000000001,0.0,0.7,0.0,4.500000000000001
14,4.8,0.0,0.7999999999999999,0.0,5.599999999999999
15,5.000000000000001,0.1,0.9999999999999999,0.0,6.099999999999998
16,4.6,0.2,1.2999999999999998,0.1,6.199999999999996
17,4.999999999999999,0.2,1.5,0.1,6.7999999999999945
18,5.299999999999998,0.2,1.6,0.1,7.199999999999993
19,5.199999999999999,0.2,1.5,0.1,6.999999999999995
20,4.500000000000001,0.2,1.5000000000000002,0.1,6.299999999999996
21,4.200000000000002,0.2,1.5000000000000002,0.1,5.999999999999997
22,3.900000000000002,0.2,1.5000000000000002,0.1,5.6999999999999975
23,3.600000000000002,0.2,1.5000000000000002,0.1,5.399999999999999
24,3.5000000000000018,0.1,1.5000000000000002,0.1,5.199999999999998
25,3.6000000000000014,0.1,1.5000000000000002,0.1,5.299999999999998
26,3.100000000000001,0.1,1.4000000000000001,0.0,4.6000000000000005
27,3.000000000000001,0.1,1.4000000000000001,0.0,4.500000000000001
28,2.900000000000001,0.1,1.3,0.0,4.300000000000002
29,2.8000000000000007,0.1,1.2,0.0,4.100000000000002
30,2.5000000000000004,0.1,1.0999999999999999,0.0,3.7000000000000015
31,2.3000000000000003,0.1,1.0999999999999999,0.0,3.5000000000000013
32,2.1000000000000005,0.1,0.9999999999999999,0.0,3.200000000000001
33,2.1000000000000005,0.1,0.9999999999999999,0.0,3.200000000000001
34,1.8000000000000003,0.1,0.8999999999999999,0.0,2.8000000000000007
35,1.9000000000000004,0.1,0.8999999999999999,0.0,2.900000000000001
36,2.0000000000000004,0.1,0.8999999999999999,0.0,3.000000000000001
37,2.0000000000000004,0.1,0.7,0.0,2.8000000000000007
38,1.9000000000000004,0.1,0.7,0.0,2.7000000000000006
39,1.9000000000000004,0.1,0.7,0.0,2.7000000000000006
